S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
11660,Punjab,Fazilka,Mulianwali,74.2860,30.3368,2023,8.75,538,36,146,71,1.00,25,3,0.00,245,32,41,27,6,0.13,4.89,8.74
11661,Punjab,Fazilka,Sajrana,74.0975,30.3434,2023,7.80,1165,0,464,163,1.20,0,31,0.00,330,24,66,126,30,0.14,0.24,17.94
11662,Punjab,Fazilka,Deepulana,74.0990,30.4530,2023,8.69,3660,144,708,596,6.20,132,124,0.00,240,20,46,706,113,0.02,2.99,106.14
11663,Punjab,Fazilka,Fazilka,74.0320,30.3948,2023,8.22,1478,0,513,199,2.40,0,91,0.00,340,40,58,172,52,0.38,0.83,59.84
11664,Punjab,Fazilka,Kauranwali,74.0560,30.3830,2023,7.91,3156,0,610,674,1.70,122,33,0.00,370,12,83,559,22,0.02,0.70,30.15
11665,Punjab,Fazilka,Khatwan,74.1798,30.0104,2023,8.12,1114,0,427,135,1.00,40,16,0.00,270,28,49,130,37,0.68,0.69,59.80
11666,Punjab,Fazilka,Kirianwala,74.1503,30.4898,2023,9.21,3089,156,574,603,2.20,20,3,0.00,600,32,126,461,7,0.01,14.40,38.85
11667,Punjab,Fazilka,Rana,74.0459,30.4581,2023,7.88,978,0,330,128,0.85,32,47,0.00,320,56,44,88,14,0.01,1.07,24.06
11668,Punjab,Fazilka,Thoh Kalandor,74.0932,30.4709,2023,8.28,1030,0,464,113,1.40,26,22,0.00,390,20,83,81,20,0.02,1.68,16.05
11669,Punjab,Fazilka,Bahadar Ke,74.3281,30.7729,2023,8.01,1128,0,427,71,0.82,110,15,0.00,420,56,68,76,10,0.01,0.62,32.45
11670,Punjab,Fazilka,Chak Mahantanwala,74.3570,30.6500,2023,7.98,1370,0,549,113,1.10,48,26,0.00,360,92,32,140,30,0.12,0.12,16.70
11671,Punjab,Fazilka,Nathu Chishti,74.2298,30.6463,2023,8.49,1052,36,281,142,1.40,48,2,0.00,150,20,24,186,5,0.15,3.14,32.57
11672,Punjab,Fazilka,Chak Mochanwala,74.1534,30.5459,2023,8.42,1023,48,391,99,2.40,32,11,0.00,220,20,41,167,8,0.05,2.05,62.50
11673,Punjab,Fazilka,Chak Panj Kohi,74.2922,30.5189,2023,8.11,2532,0,659,461,2.20,66,3,0.00,540,32,112,326,18,0.13,2.09,95.32
11674,Punjab,Fazilka,Hauj Alias Gander,74.1615,30.4746,2023,8.15,3649,0,574,837,2.30,146,31,0.00,460,32,92,596,64,0.06,1.48,72.67
11675,Punjab,Fazilka,Jalalabad,74.2542,30.6104,2023,8.25,1208,0,439,191,1.50,20,3,0.00,170,16,32,225,5,0.07,3.00,32.39
11676,Punjab,Fazilka,Jamal Ke,74.1027,30.5327,2023,8.06,2012,0,439,532,1.70,30,3,0.00,661,32,141,218,15,0.01,0.82,32.14
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
11677,Punjab,Fazilka,Khuranj,74.2874,30.4598,2023,8.15,822,0,268,163,9.30,0,8,0.00,190,52,15,126,15,0.06,3.34,42.90
11678,Punjab,Fazilka,Mohar Singhwala Hithar,74.1793,30.5898,2023,8.47,1022,36,403,121,2.10,0,16,0.00,140,16,24,202,7,0.02,2.52,47.40
11679,Punjab,Fazilka,Mottiwala,74.3556,30.7125,2023,8.25,955,0,232,206,2.00,50,2,0.00,140,12,27,182,7,0.04,S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","HarS.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
,92,0.06,0.40,29.13
11683,Punjab,Fazilka,Swahwala,74.3009,30.6007,2023,8.79,2122,192,207,326,5.90,120,35,0.00,60,4,12,487,5,0.18,14.62,104.40
11684,Punjab,Fazilka,Haripura,74.0351,30.1380,2023,7.94,3149,0,354,830,1.10,142,3,0.00,871,40,187,333,17,0.06,0.50,19.73
11685,Punjab,Fazilka,Kaler Khera,73.9556,30.0408,2023,8.04,3567,0,342,865,1.40,352,18,0.00,941,40,204,422,28,0.03,0.71,28.22
11686,Punjab,Fazilka,Khippanwali,74.0991,30.2459,2023,8.78,301,12,60,50,0.67,0,24,0.00,130,32,17,14,4,0.88,2.91,1.17
11687,Punjab,Fazilka,Panjkosi,74.0628,30.1715,2023,7.66,481,0,146,92,1.10,0,3,0.00,220,12,46,15,7,0.09,2.27,3.96
11688,Punjab,Fazilka,Sabuana,74.0037,3.3301,2023,7.72,3598,0,732,659,1.80,102,150,0.00,430,44,78,513,173,0.06,1.70,16.10
11689,Punjab,Fazilka,Bodiwala,74.1082,30.2971,2023,8.01,1635,0,281,319,1.20,36,143,0.00,380,56,58,169,73,0.08,0.53,17.18
11690,Punjab,Fazilka,Danger Khera,74.1632,30.2096,2023,7.94,4568,0,464,1305,1.70,220,154,0.00,901,48,190,744,50,0.05,0.71,21.30
11691,Punjab,Fazilka,Shatirwala,74.0020,30.2737,2023,8.19,376,0,220,14,1.30,8,3,0.00,200,68,7,5,5,0.03,0.74,1.07
11692,Punjab,Fazilka,Alamgarh,74.1576,30.1269,2023,8.21,1108,0,293,177,3.80,95,18,0.00,370,44,63,104,16,0.20,0.94,23.70
11693,Punjab,Fazilka,Bananwala,74.3074,30.3805,2023,8.22,1721,0,366,319,2.50,75,6,0.00,280,32,49,252,13,0.45,0.86,17.76
11694,Punjab,Fazilka,Dalewal Satkosi,74.0375,30.1986,2023,8.04,3130,0,561,681,1.20,195,113,0.00,771,56,153,411,44,0.38,0.36,21.80
11695,Punjab,Fazilka,Khuiyan Serovar,74.0780,30.1130,2023,8.10,6178,0,1037,1241,1.30,232,562,0.00,971,48,207,1051,38,0.09,1.04,30.90
11696,Punjab,Fazilka,Nihal Khera,74.1385,30.2348,2023,8.20,796,0,391,50,1.80,44,0,0.00,320,36,56,41,28,0.28,1.09,18.59
11697,Punjab,Fazilka,Ranjitgarh,74.4430,30.6104,2023,7.83,2771,0,610,482,1.30,86,16,0.00,380,76,46,420,14,0.71,0.21,18.98
11698,Punjab,Ferozepur,Bare Ke,74.5576,30.9705,2023,8.10,401,0,210,43,0.64,0,0,0.00,160,56,10,31,6,0.01,0.90,3.58
11699,Punjab,Ferozepur,Dulchi Ke,74.6273,30.9920,2023,8.16,637,0,293,43,1.00,24,2,0.00,190,48,17,64,6,0.01,1.76,4.48
11700,Punjab,Ferozepur,Ferozepur,74.6084,30.9677,2023,7.81,1081,0,415,57,0.97,76,18,0.00,350,64,46,78,11,0.01,0.75,25.49
11701,Punjab,Ferozepur,Ghiniwala,74.5846,30.9063,2023,7.99,1132,0,403,128,1.00,48,8,0.00,320,48,49,118,11,0.02,1.06,30.24
11702,Punjab,Ferozepur,Jaimal Singh Wala,74.3420,30.0580,2023,8.06,716,0,378,64,0.93,15,1,0.00,288,32,51,56,7,-0.02,1.57,35.15
11703,Punjab,Ferozepur,Jhokharihar,74.6110,30.8620,2023,8.64,771,36,122,71,2.20,152,27,0.00,260,32,44,81,11,0.00,2.15,39.61
11704,Punjab,Ferozepur,Lakha Bubna,74.6768,31.0162,2023,8.74,605,60,207,28,1.20,0,3,0.00,130,16,22,89,2,0.08,8.07,8.87
11705,Punjab,Ferozepur,Moharewala,74.5849,30.8287,2023,8.46,1355,72,464,106,2.00,36,63,0.00,90,12,15,300,5,-0.02,5.59,95.68
11706,Punjab,Ferozepur,Tali Gulam,74.7625,31.0897,2023,8.47,570,48,171,28,0.82,24,3,0.00,90,24,7,94,3,0.05,3.98,8.03
11707,Punjab,Ferozepur,Piarana,74.4311,30.5304,2023,8.40,948,48,268,78,1.40,108,22,0.00,200,32,29,156,7,-0.03,2.08,53.79
11708,Punjab,Ferozepur,Dholewala,74.7548,31.0230,2023,8.67,643,84,195,28,1.30,0,1,0.00,120,16,19,106,2,0.04,13.63,12.91
11709,Punjab,Ferozepur,Ghall Khurd,74.8113,30.8493,2023,7.83,1254,0,464,71,1.60,56,27,0.00,250,48,32,148,8,0.03,0.65,11.11
11710,Punjab,Ferozepur,Hastewala,74.6918,30.9790,2023,8.23,1150,0,366,128,1.10,48,2,0.00,350,56,51,87,10,0.13,1.02,37.26
11711,Punjab,Ferozepur,Kabar Bachha,74.8215,30.7817,2023,8.38,4094,24,256,1156,1.10,24,0,0.00,250,44,34,780,8,0.02,1.68,21.20
11712,Punjab,Ferozepur,Lalleh,74.8948,30.8423,2023,8.47,5046,60,769,1120,5.50,82,26,0.00,140,16,24,1033,44,0.02,5.66,119.10
11713,Punjab,Ferozepur,Malwal,74.6768,30.3091,2023,8.27,767,0,342,43,1.00,48,5,0.00,220,28,36,83,9,0.01,2.20,30.78
11714,Punjab,Ferozepur,Mohkamwala,74.8199,30.8935,2023,8.27,3735,0,622,815,1.20,92,27,0.00,420,56,68,640,16,0.00,1.13,50.48
11715,Punjab,Ferozepur,Shakoor,74.7575,30.8340,2023,8.33,1991,36,378,383,1.70,50,2,0.00,120,16,19,395,6,0.02,3.06,48.19
11716,Punjab,Ferozepur,Ugoke,74.7530,30.9034,2023,8.33,726,24,256,50,1.20,35,8,0.00,150,16,27,98,6,0.01,3.18,34.02
11717,Punjab,Ferozepur,Yare Shahwala,74.7258,30.9758,2023,8.14,1404,0,476,142,1.60,50,21,0.00,450,104,46,98,12,0.02,0.83,30.34
11718,Punjab,Ferozepur,Guru Har Sahai,74.3998,30.7113,2023,8.58,806,24,366,43,2.30,60,0,0.00,110,12,19,165,4,0.01,4.22,42.04
11719,Punjab,Ferozepur,Jandwala,74.4058,30.6409,2023,8.61,2106,84,561,234,6.00,68,48,0.80,200,40,24,326,118,0.02,7.97,28.37
11720,Punjab,Ferozepur,Bullarai Uttar,74.3148,30.7325,2023,8.40,705,24,207,92,1.30,46,24,0.00,250,32,41,71,7,0.06,0.98,23.66
11721,Punjab,Ferozepur,Ghangakhala,74.3385,30.5753,2023,8.18,4171,0,622,1007,1.80,407,99,0.00,821,40,175,695,88,0.04,0.28,63.20
11722,Punjab,Ferozepur,Ladhewala,74.3856,30.5319,2023,8.15,2409,0,598,454,1.40,58,29,0.00,631,48,124,258,23,0.16,0.59,27.99
11723,Punjab,Ferozepur,Chak Khanna,75.1349,31.0903,2023,7.83,1102,0,330,156,0.76,48,11,0.00,290,56,36,114,19,0.02,0.39,14.15
11724,Punjab,Ferozepur,Chakkian,75.0420,31.1104,2023,8.12,563,0,244,43,0.84,36,0,0.00,180,40,19,54,5,0.01,1.74,13.49
11725,Punjab,Ferozepur,Gattah Badsha,74.9010,31.1220,2023,8.32,401,12,153,57,0.98,5,0,0.00,190,32,27,17,6,-0.02,2.13,16.52
11726,Punjab,Ferozepur,Killi Godha,74.8910,31.1025,2023,8.18,693,0,268,64,0.72,28,1,0.00,160,20,27,86,3,0.00,3.42,2.35
11727,Punjab,Ferozepur,Mallanwala,74.7536,30.7793,2023,7.77,1664,0,427,284,0.79,24,10,0.00,450,96,51,154,13,0.04,1.00,30.05
11728,Punjab,Ferozepur,Talwandi Nepalan,74.9555,31.1089,2023,8.07,438,0,182,43,0.94,0,2,0.00,120,32,17,15,52,0.10,1.03,1.57
11729,Punjab,Ferozepur,Lauke Kalan,74.8460,31.0600,2023,8.12,1035,0,354,85,0.88,172,15,0.00,410,36,78,85,10,-0.02,1.07,30.04
11730,Punjab,Ferozepur,Ahmad Dhandi,74.3777,30.7776,2023,8.10,1330,0,378,191,1.20,36,26,0.00,460,52,80,81,11,0.01,0.60,36.12
11731,Punjab,Ferozepur,Bharoli Bham,74.5208,30.8424,2023,8.55,809,36,256,35,1.10,30,1,0.00,130,20,19,103,6,0.03,2.45,30.80
11732,Punjab,Ferozepur,Chak Kando Shah,74.3916,30.7575,2023,8.44,753,36,323,35,1.50,22,7,0.00,180,16,34,104,6,0.12,1.09,32.42
11733,Punjab,Ferozepur,Jhok Naudh Singh,74.5166,30.8975,2023,8.65,583,36,207,35,1.40,0,1,0.00,100,12,17,85,4,0.04,5.06,22.18
11734,Punjab,Ferozepur,Jodhpura,74.4506,30.8643,2023,8.18,679,0,305,28,0.80,24,3,0.00,260,40,39,28,8,0.03,2.03,20.33
11735,Punjab,Ferozepur,Mallha Rahim Ke Uttar,74.4492,30.9021,2023,8.38,580,24,256,28,0.81,0,1,0.00,220,40,29,32,8,0.05,3.16,20.95
11736,Punjab,Ferozepur,Malsian,74.2410,30.4830,2023,8.27,530,0,293,28,1.30,0,0,0.00,210,24,36,32,7,0.01,1.79,33.06
11737,Punjab,Ferozepur,Sham Singhwala,74.5119,30.7921,2023,7.61,1648,0,720,142,1.80,68,32,0.00,400,32,78,172,96,0.27,0.97,5.04
11738,Punjab,Ferozepur,Behk Gujran,74.9717,31.0481,2023,7.90,1066,0,342,177,0.92,18,2,0.00,440,88,54,53,9,0.14,0.46,26.30
11739,Punjab,Ferozepur,Bharana,74.8227,30.9722,2023,8.02,1611,0,427,291,0.85,48,26,0.00,460,68,71,177,15,0.04,0.69,45.20
11740,Punjab,Ferozepur,Botianwala,74.9515,30.9898,2023,8.28,633,0,317,21,0.97,34,1,0.00,240,36,36,41,8,0.03,2.15,32.78
11741,Punjab,Ferozepur,Buianwala,74.8839,30.9077,2023,8.28,2612,0,598,553,1.30,48,27,0.00,360,32,68,448,25,0.03,0.84,66.87
11742,Punjab,Ferozepur,Lohke Khurd,74.8886,31.0187,2023,8.04,1823,0,549,284,1.00,32,27,0.00,460,128,34,186,48,0.04,2.61,31.94
11743,Punjab,Ferozepur,Longe Deva,75.0153,30.9002,2023,8.40,1948,72,464,291,1.70,34,19,0.00,220,32,34,350,11,0.00,1.39,57.09
11744,Punjab,Ferozepur,Mansurwal,74.9818,30.9271,2023,8.26,3117,0,891,525,1.80,46,27,0.00,230,40,32,624,10,0.03,2.03,100.18
11745,Punjab,Ferozepur,Markhai,74.8983,30.9739,2023,8.64,1242,36,220,227,1.10,26,1,0.00,260,24,49,157,4,0.02,3.60,24.90
11746,Punjab,Ferozepur,Sher Singhwala,75.0258,30.9759,2023,7.95,1029,0,452,35,1.20,48,21,0.00,330,36,58,76,10,0.02,0.86,45.08
11747,Punjab,Gurdaspur,Bhadur Hussain,75.2533,31.7863,2023,7.79,575,0,342,28,0.82,0,9,0.00,230,44,29,40,8,0.63,0.47,7.36
11748,Punjab,Gurdaspur,Bhagowal,75.1630,31.8960,2023,7.88,505,0,260,50,0.91,0,0,0.00,240,42,33,18,12,0.04,1.72,7.32
11749,Punjab,Gurdaspur,Choranwali,75.1480,31.8580,2023,8.38,298,48,49,35,0.74,0,0,0.00,110,32,7,23,7,0.08,7.38,5.96
11750,Punjab,Gurdaspur,Hassanpura Khurd,75.1821,31.7850,2023,7.79,861,0,342,85,1.70,0,24,0.00,320,58,43,44,12,0.64,0.06,11.87
11751,Punjab,Gurdaspur,Kotbakhta,75.1964,31.7429,2023,7.81,655,0,293,43,0.88,0,48,0.00,280,78,21,26,13,0.07,0.26,6.82
11752,Punjab,Gurdaspur,Nasirpur,75.2624,31.7227,2023,7.83,693,0,332,57,1.20,0,13,0.00,260,84,12,48,9,0.29,0.09,7.18
11753,Punjab,Gurdaspur,Dera Baba Nanak,75.0330,32.0130,2023,7.81,906,0,480,57,0.90,0,22,0.00,350,72,41,42,56,4.53,26.00,0.04
11754,Punjab,Gurdaspur,Dhianpur,75.0703,31.9225,2023,7.69,1123,0,500,113,1.00,0,26,0.00,390,88,41,71,56,0.04,13.15,5.74
11755,Punjab,Gurdaspur,Fattupur,75.1103,31.9789,2023,7.97,644,0,354,21,0.88,0,1,0.00,250,39,37,32,10,0.10,0.09,7.28
11756,Punjab,Gurdaspur,Gurchak,74.9559,32.0205,2023,7.94,546,0,305,28,0.73,0,2,0.00,240,40,34,21,6,2.57,73.25,0.07
11757,Punjab,Gurdaspur,Haruwal,74.9080,31.9160,2023,7.80,816,0,427,57,1.20,0,0,0.00,250,54,28,87,3,1.95,21.59,0.83
11758,Punjab,Gurdaspur,Khanna Chamaran,74.9564,31.9874,2023,8.38,392,24,180,28,1.00,0,0,0.00,120,36,7,48,5,0.14,10.04,4.66
11759,Punjab,Gurdaspur,Shahpur Goraya,75.0943,32.0266,2023,7.89,1021,0,549,43,1.40,0,1,0.00,210,52,19,144,6,2.24,23.20,3.22
11760,Punjab,Gurdaspur,Sheikhowali,75.0379,31.9088,2023,8.40,825,36,207,64,0.99,67,19,0.00,240,32,39,76,13,0.53,0.08,9.11
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at,CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
11761,Punjab,Gurdaspur,Jogowal,75.2555,31.9869,2023,8.46,368,36,131,28,1.30,0,0,0.00,150,40,12,11,23,0.06,4.60,1.29
11762,Punjab,Gurdaspur,Kailey Kalan,75.2261,31.9220,2023,7.87,489,0,220,42,1.20,0,0,0.00,200,58,13,18,6,0.25,8.54,2.31
11763,Punjab,Gurdaspur,Kalianpur,75.3289,31.9783,2023,7.85,644,0,330,35,1.10,0,14,0.00,280,60,32,20,6,0.22,1.32,9.30
11764,Punjab,Gurdaspur,Dinanagar,75.4750,32.1417,2023,7.79,850,0,460,71,1.20,0,12,0.00,400,87,44,35,2,0.05,0.19,6.66
11765,Punjab,Gurdaspur,Galri,75.3292,32.1260,2023,7.92,575,0,301,43,0.77,0,12,0.00,280,67,27,21,4,4.28,44.95,0.04
11766,Punjab,Gurdaspur,Saidowal,75.5126,31.9736,2023,7.72,1508,0,561,163,1.10,17,30,0.00,460,88,58,84,79,0.06,0.16,29.53
11767,Punjab,Gurdaspur,Bala Pindi,75.3991,32.1605,2023,8.70,313,12,110,21,0.57,0,6,0.00,100,14,16,18,1,0.63,0.86,2.79
11768,Punjab,Gurdaspur,Jahangirpur,75.4559,32.0988,2023,8.16,389,0,220,21,1.20,0,0,0.00,200,46,21,7,2,0.41,4.84,1.05
11769,Punjab,Gurdaspur,Kahna,75.3433,32.1566,2023,8.38,397,12,171,35,0.99,0,0,0.00,160,60,2,26,4,0.20,2.70,0.21
11770,Punjab,Gurdaspur,Rasulpur,75.5399,32.0997,2023,8.73,578,36,140,57,0.83,0,31,0.00,150,18,26,60,4,0.07,1.05,5.41
11771,Punjab,Gurdaspur,Shamsherpur,75.3895,32.1085,2023,8.41,386,24,195,14,1.10,0,0,0.00,180,47,15,16,4,0.18,1.79,0.18
11772,Punjab,Gurdaspur,Ganja (Ganji),75.3530,32.1140,2023,8.39,428,24,180,43,0.79,0,0,0.00,200,57,14,18,4,0.04,3.18,0.35
11773,Punjab,Gurdaspur,Ganiya Ke Banger,75.0500,31.8667,2023,7.69,758,0,380,92,1.10,0,0,0.00,230,64,17,92,10,0.21,4.06,5.74
11774,Punjab,Gurdaspur,Madipur,74.9423,31.8279,2023,8.16,1271,0,500,85,0.80,19,76,0.00,240,40,34,113,104,0.02,1.27,40.82
11775,Punjab,Gurdaspur,Dogar,74.9698,31.9079,2023,8.18,934,0,415,78,0.81,0,31,0.00,250,25,47,61,85,0.09,3.00,5.74
11776,Punjab,Gurdaspur,Marar,75.1070,31.7970,2023,7.86,484,0,273,35,1.00,0,0,0.00,190,64,7,32,8,0.08,2.94,8.64
11777,Punjab,Gurdaspur,Bahian,75.4040,31.9749,2023,8.08,350,0,207,21,0.61,0,0,0.00,180,34,23,5,6,0.06,6.09,13.14
11778,Punjab,Gurdaspur,Dhariwal (Ganjikot),75.4754,32.0354,2023,8.07,170,0,61,28,0.46,0,2,0.00,80,24,19,3,3,0.08,0.16,0.28
11779,Punjab,Gurdaspur,Kalanaur,75.1330,32.0170,2023,8.24,401,0,180,57,0.74,0,0,0.00,180,72,15,22,5,0.03,4.14,1.85
11780,Punjab,Gurdaspur,Nabipur,75.3865,32.0324,2023,8.09,694,0,268,64,0.88,0,13,0.00,200,62,11,56,4,0.03,0.32,14.54
11781,Punjab,Gurdaspur,Naharpur,75.3268,32.0430,2023,8.39,351,12,175,28,0.96,0,0,0.00,150,52,5,21,3,0.03,4.63,0.93
11782,Punjab,Gurdaspur,Pandori Dham,75.5125,32.0528,2023,8.38,278,24,73,43,0.87,0,0,0.00,140,32,15,8,3,0.22,2.54,0.13
11783,Punjab,Gurdaspur,Ainokot,75.3130,31.7170,2023,8.07,410,0,220,21,0.76,0,7,0.00,200,31,30,6,6,0.01,1.59,4.19
11784,Punjab,Gurdaspur,Khokhowal,75.3920,31.6146,2023,7.96,464,0,262,35,0.95,0,0,0.00,180,38,21,36,9,4.21,0.11,0.06
11785,Punjab,Gurdaspur,Nahra,75.4527,31.6685,2023,7.65,528,0,287,43,0.89,0,13,0.00,220,74,9,32,5,0.05,0.88,1.29
11786,Punjab,Gurdaspur,Sakhowal,75.3959,31.7245,2023,7.76,607,0,366,21,1.10,0,10,0.00,310,84,24,13,7,0.07,0.08,2.09
11787,Punjab,Gurdaspur,Bore,75.5491,31.8938,2023,8.50,340,36,140,14,0.60,0,0,0.00,120,35,8,30,6,0.22,6.87,6.86
11788,Punjab,Gurdaspur,Chak Sharif,75.4988,31.9154,2023,8.06,376,0,242,14,0.71,0,0,0.00,140,36,12,32,7,0.05,1.64,5.26
11789,Punjab,Gurdaspur,Jalalpur,75.4628,31.8513,2023,8.04,512,0,244,43,1.10,0,31,0.00,260,84,12,8,3,0.11,0.25,0.64
11790,Punjab,Gurdaspur,Kot Budha,75.3326,31.8651,2023,7.90,840,0,415,71,1.20,0,61,0.00,420,112,34,24,5,0.04,2.90,7.58
11791,Punjab,Gurdaspur,Lamin,75.4800,31.9815,2023,8.40,269,36,73,21,0.94,0,0,0.00,110,26,11,17,3,0.12,7.44,0.99
11792,Punjab,Gurdaspur,Mulanwala,75.5436,31.8402,2023,8.41,322,36,105,28,0.89,0,0,0.00,110,37,4,31,7,0.06,0.37,8.16
11793,Punjab,Gurdaspur,Satiali Nanekot,75.4333,31.9000,2023,8.04,627,0,314,64,0.98,0,14,0.00,260,74,18,38,7,0.06,0.16,1.02
11794,Punjab,Gurdaspur,Thikriwala,75.3913,31.8577,2023,7.67,561,0,305,21,0.88,0,0,0.00,240,68,17,19,9,0.04,1.21,4.03
11795,Punjab,Gurdaspur,Baupurafganan,75.2554,32.0883,2023,8.38,316,24,146,14,0.60,0,0,0.00,140,32,15,18,4,0.04,13.99,0.18
11796,Punjab,Gurdaspur,Kamalpurafganan (Quila Nathu Singh),75.2416,32.0415,2023,7.86,631,0,342,28,1.30,0,25,0.00,290,80,22,27,2,0.04,0.85,20.85
11797,Punjab,Gurdaspur,Panwan,75.1941,31.9803,2023,8.00,486,0,244,28,0.82,0,0,0.00,150,29,19,27,25,0.03,0.39,20.09
11798,Punjab,Gurdaspur,Salechak,75.1808,32.0486,2023,7.92,1056,0,574,57,1.30,13,1,0.00,250,44,34,138,6,1.28,25.29,1.78
11799,Punjab,Gurdaspur,Bham,75.4507,31.7598,2023,7.74,557,0,310,35,0.83,0,11,0.00,230,44,29,37,8,0.05,0.42,11.08
11800,Punjab,Gurdaspur,Harchowal,75.4500,31.7920,2023,7.93,261,0,130,28,0.42,0,2,0.00,120,32,10,10,4,0.04,1.66,0.86
11801,Punjab,Gurdaspur,Muradpura,75.3205,31.7808,2023,7.88,528,0,268,50,0.95,0,10,0.00,220,50,23,35,9,0.35,0.28,9.76
11802,Punjab,Gurdaspur,Phulara (Munan),75.5320,31.7868,2023,7.78,484,0,305,21,0.95,0,0,0.00,190,52,15,33,8,0.07,4.77,4.83
11803,Punjab,Gurdaspur,Dokoha,75.3833,31.6583,2023,8.53,636,24,344,28,1.00,0,0,0.00,290,52,39,32,11,0.03,4.49,8.55
11804,Punjab,Gurdaspur,Ghoman,75.3860,31.6910,2023,7.75,534,0,293,21,0.98,0,22,0.00,250,44,34,17,9,0.03,0.84,6.28
11805,Punjab,Gurdaspur,Shri Hargovindpur,75.4750,31.6917,2023,7.65,731,0,342,57,0.63,0,30,0.00,300,52,41,32,7,0.03,0.68,2.71
11806,Punjab,Hoshiarpur,Chotala,75.7563,31.6617,2023,7.84,573,0,317,28,0.80,0,0,0.00,240,56,25,32,3,0.24,1.43,8.41
11807,Punjab,Hoshiarpur,Garh Di Wala,75.7417,31.7500,2023,7.96,472,0,270,35,1.10,0,1,0.00,220,45,26,21,2,-,-,-
11808,Punjab,Hoshiarpur,Janauri,75.8769,31.7315,2023,7.96,730,0,293,57,0.70,0,28,0.00,220,76,7,61,3,0.03,0.44,11.47
11809,Punjab,Hoshiarpur,Narur,75.8353,31.7901,2023,7.99,580,0,293,43,0.81,14,14,0.00,300,80,24,15,2,0.02,0.32,3.40
11810,Punjab,Hoshiarpur,Sheikhupur Kalan,75.6868,31.7321,2023,8.10,392,0,214,21,0.75,0,6,0.00,150,40,19,30,3,0.04,0.47,16.19
11811,Punjab,Hoshiarpur,Naraingarh,75.6154,31.8512,2023,8.10,466,0,268,21,0.73,0,2,0.00,200,48,19,25,7,0.02,0.62,6.70
11812,Punjab,Hoshiarpur,Pandori,75.6227,31.7974,2023,7.75,477,0,268,28,0.69,0,2,0.00,200,48,19,26,7,0.01,0.91,24.04
11813,Punjab,Hoshiarpur,Sagram,75.6773,31.8463,2023,7.65,676,0,317,35,0.62,0,41,0.00,280,60,32,29,3,0.03,0.66,13.73
11814,Punjab,Hoshiarpur,Dasuya,75.6670,31.8000,2023,8.08,847,0,403,57,1.10,0,30,0.00,340,84,32,36,3,0.12,0.45,1.73
11815,Punjab,Hoshiarpur,Dulmiwal,75.7510,31.8320,2023,7.56,581,0,305,36,0.99,19,15,0.00,300,60,36,17,1,0.05,0.42,2.51
11816,Punjab,Hoshiarpur,Baghorra,76.0115,31.3608,2023,7.73,750,0,427,43,1.30,S.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","HardS.,"No.,State,District,Location,Longitude,Latitude,Year,pH,EC",(µS/cm,"at,CO3","(mg/L),HCO3,Cl","(mg/L),F","(mg/L),SO4,NO3,PO4,Total","Hardness,Ca","(mg/L),Mg","(mg/L),Na","(mg/L),K","(mg/L),Fe","(ppm),As","(ppb),U",(ppb)
.00,450,84,58,55,7,0.02,0.34,13.87
11820,Punjab,Hoshiarpur,Kot,76.2147,31.2505,2023,7.97,683,0,366,36,0.81,19,2,0.00,230,68,15,65,9,0.07,4.45,6.45
11821,Punjab,Hoshiarpur,Rampur Bilron,76.1286,31.2676,2023,7.52,952,0,488,85,0.79,0,25,0.00,390,76,49,61,6,0.05,0.33,3.80
11822,Punjab,Hoshiarpur,Saddarpur,76.1924,31.2165,2023,7.80,552,0,244,36,2.60,29,20,0.00,270,28,49,16,5,0.02,0.64,7.80
11823,Punjab,Hoshiarpur,Simbli,76.1999,31.1428,2023,8.03,785,0,427,36,1.20,14,15,0.00,330,32,61,45,5,0.02,0.52,10.44
